Reporting period,Organization,Donor,Cluster,ACTIVITY DESCRIPTION,Implementing Partners,Region,District,SPECIFIC LOCATION ,RURAL/URBAN         ,Status,DURATION,Start Date,End Date,Y_COORD,X_COORD
Periode I,MEDAIR,OFDATEAR Australia ,Nutrition,"community mobiliztion, Screening, traiging , Admission,follow-up of children 6-59 months and PLWs",SAACID,Middle Shabelle,Cadale,Bursha-Shiikh ,Rural,Ongoing,12,8/1/2018,8/30/2019,2.934071,46.012124
Periode I,MEDAIR,OFDATEAR Australia ,Nutrition,"community mobiliztion, Screening, traiging , Admission,follow-up of children 6-59 months and PLWs",SAACID,Middle Shabelle,Cadale,Ceel Xarar,Rural,Ongoing,12,8/1/2018,8/30/2019,2.850338,46.091386
Periode I,MEDAIR,OFDATEAR Australia ,Nutrition,"community mobiliztion, Screening, traiging , Admission,follow-up of children 6-59 months and PLWs",SAACID,Middle Shabelle,Cadale,Bulokaramo HF,Urban,Ongoing,12,8/1/2018,8/30/2019,2.759487,46.324598
Periode I,CESVI,WFP/UNICEF/KFW,Nutrition,"Screening, admission, treatment and follow-up of children 6 to 59 months with SAM, PLW for TSFP and MCHN, under two years for MCHN",CESVI,Banadir,Wadajir,Wadajir - NA-3807-Z07-001,Urban,Ongoing,12 months ,1/1/2019,12/1/2019,45.292,2.0228
Periode I,CESVI,WFP/UNICEF/KFW,Nutrition,"Screening, admission, treatment and follow-up of children 6 to 59 months with SAM, PLW for TSFP and MCHN, under two years for MCHN",CESVI,Banadir,Wadajir,Wadajir - NA-3807-Z07-001,Urban,Ongoing,12 months ,1/1/2019,12/1/2019,45.288861,2.02058
Periode I,CESVI,WFP,Nutrition,"Screening, admission, treatment and follow-up of children 6 to 59 months with SAM, PLW for TSFP and MCHN, under two years for MCHN",CESVI,Lower Shabelle,Afgooye,Elasha ,Urban,Ongoing,6 months,1/1/2019,6/30/2019,45.214094,2.086313
Periode I,CESVI,WFP,Nutrition,"Screening, admission, treatment and follow-up of children 6 to 59 months with SAM, PLW for TSFP and MCHN, under two years for MCHN",CESVI,Lower Shabelle,Afgooye,Jazeera,Urban,Ongoing,6 months,1/1/2019,6/30/2019,45.1816,1.95006
Periode I,CESVI,GAP,Nutrition,Management of severe acute malnutrition through provision of basic nutrition service package,CESVI,Mudug,Gaalkacyo,Docol,Rural,Planned,N/A,N/A,N/A,N:06 15 81.4,E:047 31 21.7
Periode I,CESVI,GAP,Nutrition,Management of severe acute malnutrition through provision of basic nutrition service package,CESVI,Mudug,Gaalkacyo,Wargalo,Rural,Planned,N/A,N/A,N/A,N:06 25 95.4,E:047 29 41.8
Periode I,CESVI,GAP,Nutrition,Management of severe acute malnutrition through provision of basic nutrition service package,CESVI,Mudug,Gaalkacyo,Bandiiradley,Rural,Planned,N/A,N/A,N/A,06 28 387,046 56 587
Periode I,CESVI,GAP,Nutrition,Management of severe acute malnutrition through provision of basic nutrition service package,CESVI,Mudug,Gaalkacyo,Galinsoor,Rural,Planned,N/A,N/A,N/A,06 25 464,047 42 310
Periode I,CESVI,GAP,Nutrition,Management of severe acute malnutrition through provision of basic nutrition service package,CESVI,Mudug,Gaalkacyo,Alanley,Urban,Planned,N/A,N/A,N/A,N 06.744950,E 047.446014
Periode I,CESVI,GAP,Nutrition,Management of severe acute malnutrition through provision of basic nutrition service package,CESVI,Mudug,Gaalkacyo,Arafat,Urban,Planned,N/A,N/A,N/A,N 06.73035,E 047.43480
Periode I,CESVI,GAP,Nutrition,Management of severe acute malnutrition through provision of basic nutrition service package,CESVI,Mudug,Gaalkacyo,Haarhaar,Urban,Planned,N/A,N/A,N/A,N 06.69161,E 047.43407
Periode I,CESVI,GAP,Nutrition,Management of severe acute malnutrition through provision of basic nutrition service package,CESVI,Mudug,Hobyo,Elgula,Rural,Planned,N/A,N/A,N/A,47.85248,6.01175
Periode I,CESVI,GAP,Nutrition,Management of severe acute malnutrition through provision of basic nutrition service package,CESVI,Mudug,Hobyo,Galbarwaaqo,Rural,Planned,N/A,N/A,N/A,06 13 079,047 67 527
Periode I,MEDAIR,OFDA,Nutrition,"Screening, Admission, follow-up of children 6-59 months and PLWs",Somali Aid,Lower Juba,Kismaayo,Kismayo - SA-3801-J13-001,Urban,Ongoing,12 months ,7/1/2017,Dec-018,S00.35315 ,E042.52999
Periode I,MEDAIR,Swiss solidarity,Nutrition,"Screening, Admission, follow-up of children 6-59 months and PLWs",Somali Aid,Lower Juba,Kismaayo,Kismayo - SA-3801-J13-001,Urban,Ongoing,6 months,July-018,Dec-018,S-0.349163,E 42.547334
Periode I,MEDAIR,Swiss solidarity,Nutrition,"Screening, Admission, follow-up of children 6-59 months and PLWs",Somali Aid,Lower Juba,Kismaayo,Abdale Birole - SA-3801-M05-002,Rural,Ongoing,17 months,September-017,Dec-018,-0.49016,42.19793
Periode I,MEDAIR,Swiss solidarity,Nutrition,"Screening, Admission, follow-up of children 6-59 months and PLWs",Somali Aid,Lower Juba,Badhaadhe,Buur Gaabo - SA-3708-F30-001,Rural,Ongoing,17 months,September-017,Dec-018,-1.21781,41.836891
Periode I,UNICEF,UNICEF/EPHS,Nutrition,"Screening, Admission, follow-up of children 6-59 months and IYCF counselling for PLWs",Somali Aid,Lower Juba,Badhaadhe,Kaambooni - SA-3708-R24-001,Rural,Ongoing,9 months,June-018,February-019,-1.63754,41.587711
Periode I,UNICEF,UNICEF/EPHS,Nutrition,"Screening, Admission, follow-up of children 6-59 months and IYCF couselling for PLWs",Somali Aid,Lower Juba,Badhaadhe,Kolbiyow - SA-3708-D16-002,Rural,Ongoing,9 months,June-018,February-019,-1.1327,41.221771
Periode I,UNICEF,UNICEF/EPHS,Nutrition,"Screening, Admission, follow-up of children 6-59 months and IYCF couselling for PLWs",Somali Aid,Lower Juba,Badhaadhe,Koday - SA-3708-A33-001,Rural,Ongoing,9 months,June-018,February-019,-1.03294,41.973869
Periode I,MEDAIR,Swiss solidarity,Nutrition,"Screening, Admission, follow-up of children 6-59 months",Somali Aid,Lower Juba,Kismaayo,Allanley,Urban,Ongoing,3 months,November-018,March-019,,
Periode I,QRCS,SHF,Nutrition,"Nutrition Counselling, screening, treatment, referral and follow up for children under 5 with uncomplicated SAM and MAM and moderately malnourished pregnant and lactating mothers.",QRCS,Middle Shabelle,Cadale,Warsheikh nutrition center,Rural,Ongoing,Ongoing ,1/1/2019,Dec-201,43830,19121
Periode I,ACF,SHINE,Nutrition,"Screening amongst children below under five years and PLW, Treatment of Severe Acute Malnutrition (SAM) with complication through SC , SAM without complication through  OTP centre,Health education promotion and Intergrating IYCN in to CMAM to contribute to improve IYCN practices,Immunization,treatment for minor illnes, Vitamin A and deworming.",AAH,Banadir,Cabdulasiis,Garisa ,Urban,Ongoing,12 months ,1/1/2019,12/31/2019,2.046349,45.360397
Periode I,ACF,SHINE,Nutrition,"Screening amongst children below under five years and PLW, Treatment of Severe Acute Malnutrition (SAM) with complication through SC , SAM without complication through  OTP centre,Health education promotion and Intergrating IYCN in to CMAM to contribute to improve IYCN practices,Immunization,treatment for minor illnes, Vitamin A and deworming.",AAH,Banadir,Hodan,Octobar and Ahmed gurey,Urban,Ongoing,12 months ,1/1/2019,12/31/2019,2.032865,45.315392
Periode I,ACF,DIFD,Nutrition,"Screening amongst children below under five years and PLW, SAM without complication through  OTP centre,Health education promotion and Intergrating IYCN in to CMAM to contribute to improve IYCN practices,Immunization,treatment for minor illnes, Vitamin A and deworming.",AAH,Banadir,Hodan,"Liqliqito, Omar fiyasko, Abaadir",Urban,Ongoing,12 months ,1/1/2019,12/31/2019,2.058589,45.264256
Periode I,ACF,GAC,Nutrition,"Screening amongst children below under five years and PLW, SAM without complication through  OTP centre,Health education promotion and Intergrating IYCN in to CMAM to contribute to improve IYCN practices,Immunization,treatment for minor illnes, Vitamin A and deworming.",AAH,Bakool,Waajid,HIDIG,Rural,Ongoing,12 months ,3/1/2018,3/2/2019,"43,24'84.08","3,80'415"
Periode I,ACF,GAC,Nutrition,"Screening amongst children below under five years and PLW, SAM without complication through  OTP centre,Health education promotion and Intergrating IYCN in to CMAM to contribute to improve IYCN practices,Immunization,treatment for minor illnes, Vitamin A and deworming.",AAH,Bakool,Waajid,MCH OTP,Rural,Ongoing,14 months,2/1/2018,3/3/2019,"3,48'34.995""","43,14'54.823"
Periode I,ACF,DIFD,Nutrition,"Screening amongst children below under five years and PLW, Treatment of Severe Acute Malnutrition (SAM) with complication through SC , SAM without complication through  OTP centre,Health education promotion and Intergrating IYCN in to CMAM to contribute to improve IYCN practices,Immunization,treatment for minor illnes, Vitamin A and deworming.",AAH,Bakool,Ceel Barde,Ceel Barde - NB-3814-E04-001,Urban,Ongoing,12 months ,1/1/2019,12/31/2019,N 4.82821,E 43.65993
Periode I,ACF,DIFD,Nutrition,"Screening amongst children below under five years and PLW, SAM without complication through  OTP centre,Health education promotion and Intergrating IYCN in to CMAM to contribute to improve IYCN practices,Immunization,treatment for minor illnes, Vitamin A and deworming.",AAH,Bakool,Ceel Barde,Ato - NB-3813-K30-001,Urban,Ongoing,12 months ,1/1/2019,12/31/2019,N 4.6205,E 43.35402
Periode I,ACF,DIFD,Nutrition,"Screening amongst children below under five years and PLW, SAM without complication through  OTP centre,Health education promotion and Intergrating IYCN in to CMAM to contribute to improve IYCN practices,Immunization,treatment for minor illnes, Vitamin A and deworming.",AAH,Bakool,Ceel Barde,Lawareeg/Qeyre Haboon - NB-3814-F05-001,Rural,Ongoing,12 months ,1/1/2019,12/31/2019,N 4.46343,E 43.3652
Periode I,ACF,DIFD,Nutrition,"Screening amongst children below under five years and PLW, SAM without complication through  OTP centre,Health education promotion and Intergrating IYCN in to CMAM to contribute to improve IYCN practices,Immunization,treatment for minor illnes, Vitamin A and deworming.",AAH,Bakool,Ceel Barde,Lambar - NB-3814-D09-002,Rural,Ongoing,12 months ,1/1/2019,12/31/2019,4.8412202,43.869785
Periode I,ACF,DIFD,Nutrition,"Screening amongst children below under five years and PLW, SAM without complication through  OTP centre,Health education promotion and Intergrating IYCN in to CMAM to contribute to improve IYCN practices,Immunization,treatment for minor illnes, Vitamin A and deworming.",AAH,Bakool,Ceel Barde,Hiirey - NB-3814-E05-001,Rural,Ongoing,12 months ,1/1/2019,12/31/2019,4.80724,43.712
Periode I,ACF,DIFD,Nutrition,"Screening amongst children below under five years and PLW, SAM without complication through  OTP centre,Health education promotion and Intergrating IYCN in to CMAM to contribute to improve IYCN practices,Immunization,treatment for minor illnes, Vitamin A and deworming.",AAH,Bakool,Ceel Barde,Ceel Barde/Sayidka/Laanta - NB-3814-E04-002,Urban,Ongoing,12 months ,1/1/2019,12/31/2019,4.82821,43.65993
Periode I,ACF,DIFD,Nutrition,"Screening amongst children below under five years and PLW, SAM without complication through  OTP centre,Health education promotion and Intergrating IYCN in to CMAM to contribute to improve IYCN practices,Immunization,treatment for minor illnes, Vitamin A and deworming.",AAH,Bakool,Ceel Barde,Sal-Kudhooble - NB-3814-C11-001,Rural,Ongoing,12 months ,1/1/2019,12/31/2019,N 4.90952,E 43.99175
Periode I,ACF,SIDA,Nutrition,"Screening amongst children below under five years and PLW, SAM without complication through  OTP centre,Health education promotion and Intergrating IYCN in to CMAM to contribute to improve IYCN practices,Immunization,treatment for minor illnes, Vitamin A and deworming.",AAH,Bakool,Rab Dhuure,Dhuurey - NB-3813-T21-001,Rural,Ongoing,12 months ,4/1/2018,4/30/2019,4.55303,43.04538
Periode I,ACF,SIDA,Nutrition,"Screening amongst children below under five years and PLW, SAM without complication through  OTP centre,Health education promotion and Intergrating IYCN in to CMAM to contribute to improve IYCN practices,Immunization,treatment for minor illnes, Vitamin A and deworming.",AAH,Bakool,Rab Dhuure,Balli Adde - NB-3813-L24-001,Rural,Ongoing,12 months ,4/1/2018,4/30/2019,4.5472,43.0509
Periode I,ACF,SIDA,Nutrition,"Screening amongst children below under five years and PLW, SAM without complication through  OTP centre,Health education promotion and Intergrating IYCN in to CMAM to contribute to improve IYCN practices,Immunization,treatment for minor illnes, Vitamin A and deworming.",AAH,Bakool,Rab Dhuure,Gubato - NB-3813-L25-001,Rural,Ongoing,12 months ,4/1/2018,4/30/2019,N04¡`34.583Õ,E043¡07.471Õ
Periode I,ACF,SIDA,Nutrition,"Screening amongst children below under five years and PLW, SAM without complication through  OTP centre,Health education promotion and Intergrating IYCN in to CMAM to contribute to improve IYCN practices,Immunization,treatment for minor illnes, Vitamin A and deworming.",AAH,Bakool,Rab Dhuure,Habow - NB-3813-P25-001,Rural,Ongoing,12 months ,4/1/2018,4/30/2019,4.4467,43.10501
Periode I,ACF,SIDA,Nutrition,"Screening amongst children below under five years and PLW, SAM without complication through  OTP centre,Health education promotion and Intergrating IYCN in to CMAM to contribute to improve IYCN practices,Immunization,treatment for minor illnes, Vitamin A and deworming.",AAH,Bakool,Rab Dhuure,Habow Yar - NB-3813-N24-001,Rural,Ongoing,12 months ,4/1/2018,4/30/2019,04'32.646',043'02581'
Periode I,ACF,SIDA,Nutrition,"Screening amongst children below under five years and PLW, SAM without complication through  OTP centre,Health education promotion and Intergrating IYCN in to CMAM to contribute to improve IYCN practices,Immunization,treatment for minor illnes, Vitamin A and deworming.",AAH,Bakool,Rab Dhuure,Washaaqo - NB-3813-S22-001,Urban,Ongoing,12 months ,4/1/2018,4/30/2019,N04¡`19.589Õ,E042¡58.309Õ
Periode I,ACF,SIDA,Nutrition,"Screening amongst children below under five years and PLW, SAM without complication through  OTP centre,Health education promotion and Intergrating IYCN in to CMAM to contribute to improve IYCN practices,Immunization,treatment for minor illnes, Vitamin A and deworming.",AAH,Bakool,Rab Dhuure,Yeed - NB-3813-L23-003,Urban,Ongoing,12 months ,4/1/2018,4/30/2019,N 4.82821,E 43.65993
Periode I,ACF,GAC,Nutrition,"Screening amongst children below under five years and PLW, Treatment of Severe Acute Malnutrition (SAM) with complication through SC,Health education promotion and Intergrating IYCN in to CMAM to contribute to improve IYCN practices,Immunization, Vitamin A and deworming.",AAH,Bakool,Xudur,Hudur Town SC,Urban,Ongoing,24 months,4/1/2017,30/03/2019,4.12459,43.88765
Periode I,ACF,GAC,Nutrition,"Screening amongst children below under five years and PLW, SAM without complication through  OTP centre,Health education promotion and Intergrating IYCN in to CMAM to contribute to improve IYCN practices,Immunization,treatment for minor illnes, Vitamin A and deworming.",AAH,Bakool,Xudur,Mada warabe ,Rural,Ongoing,24 months,4/1/2017,30/03/2019,4.13295,43.92216
Periode I,ACF,GAC,Nutrition,"Screening amongst children below under five years and PLW, SAM without complication through  OTP centre,Health education promotion and Intergrating IYCN in to CMAM to contribute to improve IYCN practices,Immunization,treatment for minor illnes, Vitamin A and deworming.",AAH,Bakool,Xudur,Gubud Galole mobile ,Rural,Ongoing,24 months,4/1/2017,30/03/2019,4.13295,43.92216
Periode I,ACF,GAC,Nutrition,"Screening amongst children below under five years and PLW, SAM without complication through  OTP centre,Health education promotion and Intergrating IYCN in to CMAM to contribute to improve IYCN practices,Immunization,treatment for minor illnes, Vitamin A and deworming.",AAH,Bakool,Xudur,Weerow Mobile Outreach,Rural,Ongoing,24 months,4/1/2017,30/03/2019,4.17074,43.83483
Periode I,ACF,GAC,Nutrition,"Screening amongst children below under five years and PLW, SAM without complication through  OTP centre,Health education promotion and Intergrating IYCN in to CMAM to contribute to improve IYCN practices,Immunization,treatment for minor illnes, Vitamin A and deworming.",AAH,Bakool,Xudur,Qaydar Ade/Moragabey Mobile ,Rural,Ongoing,24 months,4/1/2017,30/03/2019,4.18976,43.64093
Periode I,ACF,GAC,Nutrition,"Screening amongst children below under five years and PLW, SAM without complication through  OTP centre,Health education promotion and Intergrating IYCN in to CMAM to contribute to improve IYCN practices,Immunization,treatment for minor illnes, Vitamin A and deworming.",AAH,Bakool,Xudur,Xudur/Sheikh Aweys - NB-3814-X09-004,Rural,Ongoing,24 months,4/1/2017,30/03/2019,4.18976,43.64093
Periode I,ACF,GAC,Nutrition,"Screening amongst children below under five years and PLW, SAM without complication through  OTP centre,Health education promotion and Intergrating IYCN in to CMAM to contribute to improve IYCN practices,Immunization,treatment for minor illnes, Vitamin A and deworming.",AAH,Bakool,Xudur,Aboore - NB-3814-S09-001,Rural,Ongoing,24 months,4/1/2017,30/03/2019,4.301239,43.909182
Periode I,ACF,GAC,Nutrition,"Screening amongst children below under five years and PLW, SAM without complication through  OTP centre,Health education promotion and Intergrating IYCN in to CMAM to contribute to improve IYCN practices,Immunization,treatment for minor illnes, Vitamin A and deworming.",AAH,Bakool,Xudur,Bisigle - NB-3814-V05-001,Rural,Ongoing,24 months,4/1/2017,30/03/2019,4.150735,43.770452
Periode I,ACF,GAC,Nutrition,"Screening amongst children below under five years and PLW, SAM without complication through  OTP centre,Health education promotion and Intergrating IYCN in to CMAM to contribute to improve IYCN practices,Immunization,treatment for minor illnes, Vitamin A and deworming.",AAH,Bakool,Xudur,Lafale - NB-3814-Z09-001,Rural,Ongoing,24 months,4/1/2017,30/03/2019,4.82821,43.65993
Periode I,ACF,GAC,Nutrition,"Screening amongst children below under five years and PLW, SAM without complication through  OTP centre,Health education promotion and Intergrating IYCN in to CMAM to contribute to improve IYCN practices,Immunization,treatment for minor illnes, Vitamin A and deworming.",AAH,Bakool,Xudur,Xudur/Buulo - NB-3814-W16-002,Urban,Ongoing,24 months,4/1/2017,30/03/2019,4.6205,43.35402
Periode I,ACF,GAC,Nutrition,"Screening amongst children below under five years and PLW, SAM without complication through  OTP centre,Health education promotion and Intergrating IYCN in to CMAM to contribute to improve IYCN practices,Immunization,treatment for minor illnes, Vitamin A and deworming.",AAH,Bakool,Xudur,Gareere-Gawaan - NB-3814-Z08-002,Rural,Ongoing,24 months,4/1/2017,30/03/2019,4.00492,43.85634
Periode I,ACF,GAC,Nutrition,"Screening amongst children below under five years and PLW, SAM without complication through  OTP centre,Health education promotion and Intergrating IYCN in to CMAM to contribute to improve IYCN practices,Immunization,treatment for minor illnes, Vitamin A and deworming.",AAH,Bakool,Xudur,Farag ,Rural,Ongoing,24 months,4/1/2017,30/03/2019,4.12948,43.94146
Periode I,ACF,GAC,Nutrition,"Screening amongst children below under five years and PLW, SAM without complication through  OTP centre,Health education promotion and Intergrating IYCN in to CMAM to contribute to improve IYCN practices,Immunization,treatment for minor illnes, Vitamin A and deworming.",AAH,Bakool,Xudur,Abal IDP,Rural,Ongoing,24 months,4/1/2017,30/03/2019,3.94352,43.94177
Periode I,IMC,OFDA,Nutrition,"OTP- treatment of SAM children without medical Complication/having a good appeteite, Nutrition screening for under five children and PLW, and IYCF councelling",IMC,Mudug,Hobyo,Dhuure,Rural,Ongoing,12 months ,1st July 2018,30th June 2019,"6.365278 
",47.948333
Periode I,IMC,OFDA,Nutrition,"OTP- treatment of SAM children without medical Complication/having a good appeteite, Nutrition screening for under five children and PLW, and IYCF councelling",IMC,Mudug,Gaalkacyo,Carfuuda - NB-3808-J24-001,Rural,Ongoing,12 months ,1st July 2018,30th June 2019,"6.633194  
",47.646722
Periode I,IMC,OFDA,Nutrition,"OTP- treatment of SAM children without medical Complication/having a good appeteite, Nutrition screening for under five children and PLW, and IYCF councelling",IMC,Mudug,Gaalkacyo,Dagaari - NB-3808-L18-001,Rural,Ongoing,12 months ,1st July 2018,30th June 2019," 6.55220707   
",47.27765078
Periode I,IMC,OFDA,Nutrition,"OTP- treatment of SAM children without medical Complication/having a good appeteite, Nutrition screening for under five children and PLW, and IYCF councelling",IMC,Mudug,Gaalkacyo,Midnimo IDP Camp,Urban,Ongoing,12 months ,1st July 2018,30th June 2019,"6.759641    
",47.428113
Periode I,IMC,OFDA,Nutrition,"OTP- treatment of SAM children without medical Complication/having a good appeteite, Nutrition screening for under five children and PLW, and IYCF councelling",IMC,Mudug,Gaalkacyo,Elgab IDP Camp,Urban,Ongoing,12 months ,1st July 2018,30th June 2019,N/A,N/A
Periode I,IMC,OFDA,Nutrition,"OTP- treatment of SAM children without medical Complication/having a good appeteite, Nutrition screening for under five children and PLW, and IYCF councelling",IMC,Mudug,Gaalkacyo,Docolle Farale - NB-3808-H24-001,Rural,Ongoing,12 months ,1st July 2018,30th June 2019,"6.664675  
",47.554206
Periode I,IMC,OFDA,Nutrition,"OTP- treatment of SAM children without medical Complication/having a good appeteite, Nutrition screening for under five children and PLW, and IYCF councelling",IMC,Mudug,Gaalkacyo,Kalcad,Rural,Ongoing,12 months ,1st July 2018,30th June 2019,"6.633194   
",47.646722
Periode I,IMC,OFDA,Nutrition,"OTP- treatment of SAM children without medical Complication/having a good appeteite, Nutrition screening for under five children and PLW, and IYCF councelling",IMC,Mudug,Gaalkacyo,Jilable,Rural,Ongoing,12 months ,1st July 2018,30th June 2019,"6.407744   
",47.847228
Periode I,IMC,OFDA,Nutrition,"OTP- treatment of SAM children without medical Complication/having a good appeteite, Nutrition screening for under five children and PLW, and IYCF councelling",IMC,Mudug,Gaalkacyo,Bitaale,Rural,Ongoing,12 months ,1st July 2018,30th June 2019,"6.701483   
",47.830308
Periode I,IMC,OFDA,Nutrition,"OTP- treatment of SAM children without medical Complication/having a good appeteite, Nutrition screening for under five children and PLW, and IYCF councelling",IMC,Mudug,Gaalkacyo,Bandarqaali,Rural,Ongoing,12 months ,1st July 2018,30th June 2019,"6.626367   
",47.844964
Periode I,IMC,ECHO,Nutrition,"OTP- treatment of SAM children without medical Complication/having a good appeteite, Nutrition screening for under five children and PLW, and IYCF councelling",IMC,Mudug,Gaalkacyo,"Gaalkacyo/Garsoor, Horumar - NB-3808-F21-003",Urban,Ongoing,2 months,1st February 2019,31th March 2019,"6.746556   
",47.427717
Periode I,IMC,ECHO,Nutrition,Stabilisation center for SAM chikdren with Medical Complication or poor appetite and IYCF councelling ,IMC,Mudug,Gaalkacyo,"Gaalkacyo/Garsoor, Horumar - NB-3808-F21-003",Urban,Ongoing,2 months,1st February 2019,31th March 2019,"6.746556  
",47.427717
Periode I,IMC,OFDA,Nutrition,"OTP- treatment of SAM children without medical Complication/having a good appeteite, Nutrition screening for under five children and PLW, and IYCF councelling",IMC,Galgaduud,Cabudwaaq,Abutwaq - NB-3807-U27-001,Urban,Ongoing,12 months ,1st July 2018,30th June 2019,6.240159(lat),46.234594( Long
Periode I,IMC,OFDA,Nutrition,"OTP- treatment of SAM children without medical Complication/having a good appeteite, Nutrition screening for under five children and PLW, and IYCF councelling",IMC,Galgaduud,Cabudwaaq,Balanbal - NB-3811-H22-001,Urban,Ongoing,12 months ,1st July 2018,30th June 2019,5.763231(Lat),45.756679(Long)
Periode I,IMC,OFDA / USAID,Nutrition,"OTP- treatment of SAM children without medical Complication/having a good appeteite, Nutrition screening for under five children and PLW, and IYCF councelling",IMC,Middle Shabelle,Jowhar,Baarey,Rural,Ongoing,12 months , July 2018, June 2019,N 2.973351, E 45538580
Periode I,IMC,OFDA / USAID,Nutrition,"OTP- treatment of SAM children without medical Complication/having a good appeteite, Nutrition screening for under five children and PLW, and IYCF councelling",IMC,Middle Shabelle,Jowhar,Barrow-weyne,Rural,Ongoing,12 months , July 2018, June 2019,N 2.973351 ,E 45.5386
Periode I,IMC,OFDA / USAID,Nutrition,"OTP- treatment of SAM children without medical Complication/having a good appeteite, Nutrition screening for under five children and PLW, and IYCF councelling",IMC,Middle Shabelle,Jowhar,Kongo,Rural,Ongoing,12 months , July 2018, June 2019,N 2.773293 ,E 45.511797
Periode I,IMC,OFDA / USAID,Nutrition,"OTP- treatment of SAM children without medical Complication/having a good appeteite, Nutrition screening for under five children and PLW, and IYCF councelling",IMC,Middle Shabelle,Jowhar,Qalimow,Rural,Ongoing,12 months , July 2018, June 2019,N 2.5880100, E 45.3708480
Periode I,IMC,OFDA / USAID,Nutrition,"OTP- treatment of SAM children without medical Complication/having a good appeteite, Nutrition screening for under five children and PLW, and IYCF councelling",IMC,Middle Shabelle,Jowhar,Timire,Rural,Ongoing,12 months , July 2018, June 2019,N 2.973351 ,E 45538570
Periode I,IMC,OFDA / USAID,Nutrition,"OTP- treatment of SAM children without medical Complication/having a good appeteite, Nutrition screening for under five children and PLW, and IYCF councelling",IMC,Middle Shabelle,Jowhar,Qalafoow ,Rural,Ongoing,12 months , July 2018, June 2019,N 2.786313  ,E45474670.
Periode I,CISP,UNICEF,Nutrition,Treatment of SAM children and provision of EPI,CISP,Galgaduud,Ceel Dheer,Elder MCH,Urban,Ongoing,12 months ,7/1/2018,6/1/2019,3.84909,47.180309
Periode I,CISP,UNICEF,Nutrition,Treatment of SAM children and provision of EPI,CISP,Galgaduud,Ceel Dheer,Wahweyn MCH,RURAL/URBAN,Ongoing,12 months ,7/1/2018,6/1/2019,,
Periode I,CISP,UNICEF,Nutrition,Treatment of SAM children and provision of EPI,CISP,Galgaduud,Ceel Dheer,Elder Hospital,Urban,Ongoing,12 months ,7/1/2018,6/1/2019,,
Periode I,CISP,UNICEF,Nutrition,Treatment of SAM children and provision of EPI,CISP,Galgaduud,Ceel Dheer,Mobile team,Mobile,Ongoing,12 months ,7/1/2018,6/1/2019,,
Periode I,CISP,UNICEF,Nutrition,Treatment of SAM children and provision of EPI,CISP,Mudug,Xarardheere,Harardere Hospital,Urban,Ongoing,12 months ,7/1/2018,6/1/2019,,
Periode I,CISP,WFP,Nutrition,Admision  Follow up for MCHN AND TSFP CASES and IYCF NHHP AWARNESS rasining seesions to the mothers and care givers,CISP,Banadir,Shibis,Shibis HF,Urban,Ongoing,10 months,1st march 2018,12/31/2018,"N2¡3«1""","E45¡20«45"""
Periode I,CISP,UNICEF,Nutrition,Increased access to community and facility-based health and nutrition interventions to strengthen resilience of children and families in Shibis district of Banadir RegionÓ.,CISP,Banadir,Shibis,Shibis HF,Urban,Ongoing,12 months ,1st Sept 2018,9/30/2019,"N2¡3«1""","E45¡20«45"""
Periode I,CISP,UNICEF,Nutrition,Increased access to community and facility-based health and nutrition interventions to strengthen resilience of children and families in Shibis district of Banadir RegionÓ.,CISP,Banadir,Shibis,Shibis HF,Urban,Ongoing,12 months ,1st Sept 2018,9/30/2019,"N2¡3«1""","E45¡20«45"""
Periode I,CISP,UNICEF,Nutrition,Treatment of uncomplicated SAM  fixed and mobile Referal and provition of EPI throught Fixed and mobile team,CISP,Banadir,Bondhere,Bondheer HC,Urban,Ongoing,12 months ,7/1/2017,6/1/2018,"2¡ 2'50.22""N","45¡20'31.72""E"
Periode I,CISP,UNICEF,Nutrition,Treatment of uncomplicated SAM  fixed and mobile Referal and provition of EPI throught Fixed and mobile team,CISP,Banadir,Bondhere,Bondheer HC,Urban,Ongoing,12 months ,7/1/2017,6/1/2018,"2¡ 2'50.22""N","45¡20'31.72""E"
Periode I,IRC, UNICEF,Nutrition,"Screening of acute malnutrition (MUAC or W/H, and/or bilateral pitting oedema)",IRC,Banadir,Karaan,Jebouti branch ,Urban,Ongoing,24 months,14th  August  2018,14th  August  2020,02.05139N,45.36245E
Periode I,IRC, UNICEF,Nutrition,Out patient treatment of severe acute malnutrition without medical complication,IRC,Banadir,Karaan,Jebouti branch ,Urban,Ongoing,24 months,14th  August  2018,14th  August  2020,02.05139N,45.36245E
Periode I,IRC, UNICEF,Nutrition,Mobile team for outreach activities of the CMAM programs to nutritional village sites,IRC,Banadir,Karaan,Jebouti branch ,Urban,Ongoing,24 months,14th  August  2018,14th  August  2020,02.05139N,45.36245E
Periode I,IRC, UNICEF,Nutrition,"Screeningand Admitting of MCHN( U 2, PLW) and TSFP(U 5 and PLW)",IRC,Banadir,Karaan,Jebouti branch ,Urban,Ongoing,24 months,14th  August  2018,14th  August  2020,02.05139N,45.36245E
Periode I,IRC, UNICEF,Nutrition,Out patient treatment of severe acute malnutrition without medical complication,IRC,Banadir,Karaan,Jebouti branch ,Urban,Ongoing,24 months,14th  August  2018,14th  August  2020,02.05139N,45.36245E
